,artist_id,artists_id,artists_name,album_id,album_name,album_release_date
0,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),2023-03-14
1,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],1OARrXe5sB0gyy3MhQ8h92,Live At SoFi Stadium,2023-03-03
2,1Xyo4u8uXC1ZmMpatF05PJ,"['12WCXE6DlRcCn2rEShNepL', '1Xyo4u8uXC1ZmMpatF05PJ']","['Simon Franglen', 'The Weeknd']",4M2Mf4pmARKGVT9MLCe3HA,Avatar: The Way of Water (Original Motion Picture Soundtrack),2022-12-15
3,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],12INlMsFtBjyehNnawBv36,Dawn FM (Alternate World),2022-01-07
4,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],2nLOHgzXzwFEpl62zAgCEC,Dawn FM,2022-01-06
5,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],742eAldb4AJKLoPgJhGRE7,After Hours (Deluxe),2020-03-20
6,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
7,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],4qZBW3f2Q8y0k1A84d4iAO,"My Dear Melancholy,",2018-03-30
8,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25
9,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28
10,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],2FgMWuwMeTgJArP2RF3upF,Kiss Land,2013-01-01
11,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],2XGEyGU76kj55OdHWynX0S,Trilogy,2012-11-13
12,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],04hy4jb1GDD00otiwzsFUB,Echoes Of Silence (Original),2011-12-21
13,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],6F87lH0I09qlrzvCCKc7lz,Thursday (Original),2011-08-18
14,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],7zCODUHkfuRxsUjtuzNqbd,House Of Balloons (Original),2011-03-21
