,artist_id,artists_id,artists_name,album_id,album_name,album_release_date
0,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],0WWF65znPwTveUVUB8ULP4,For Those Who Have Heart,2023-11-17
1,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],1JiQM9ygHBPtO18Lvqyd2i,You're Welcome,2021-03-05
2,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],5Vujt84AgejgLiEjPje5hE,Live at The Audio Compound,2021-01-25
3,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],5rSgMFmmuaKQxma4bSEviU,Bad Vibrations (Deluxe Edition),2016-09-02
4,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],4q5oXfwP61kQQCV05mLLft,Common Courtesy,2013-10-08
5,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],6I2SUr0MolRUiDEcZAbSWm,What Separates Me From You,2010-11-16
6,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],5LLStnIaHHtoTZHCZBJVQq,Homesick (Special Edition),2009-02-03
7,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],6MEv8dNtVbKDW1WG4Hk6WZ,Homesick,2009-02-03
8,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],2NaruSrhDARhWMQfarl5eG,Old Record,2008-10-28
9,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],4HEUcIsYZNkvMWQkIIEJYq,For Those Who Have Heart (Deluxe Edition),2007-01-22
10,4NiJW4q9ichVqL1aUsgGAN,['4NiJW4q9ichVqL1aUsgGAN'],['A Day To Remember'],6h7J1MlPHn0btpEcnJHttn,And Their Name Was Treason,2005-05-10
