,artist_id,artists_id,artists_name,album_id,album_name,album_release_date
0,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],2lrjzHRTMnuEZO00d9JS72,I Saw The TV Glow (Original Motion Picture Score),2024-05-16
1,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],6TzgWk5HZItbFmMT7hH4bU,God Save The Animals,2022-09-23
2,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],4kRBRBATKhUrKKLmkB9inz,We're All Going to the World's Fair (Original Motion Picture Soundtrack),2022-04-15
3,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],2kCDZ3gCr5hXFgbFsPMcxP,House of Sugar,2019-09-13
4,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],5Pq92omNLyQgGGrj2u4pur,Rocket,2017-05-19
5,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],0aABjw7BY2iRsK4ZdkwSjF,Beach Music,2015-10-09
6,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],5vLZ3lKEpbRyjTIFPrdGwU,DSU,2014-06-17
7,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],1i8WVUZhMVNurF8rmlMeSH,Trick,2012-11-05
8,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],5CVwTpfAIK2vN9IxuG5C3f,Rules,2012-01-15
9,6lcwlkAjBPSKnFBZjjZFJs,['6lcwlkAjBPSKnFBZjjZFJs'],['Alex G'],42bSpkr89bdrwMMNuEZlDJ,Race,2010-01-01
