,artist_id,artists_id,artists_name,album_id,album_name,album_release_date
0,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],54ulCzfsXM4WXdvvaz262J,Marigold Sky,2022-03-25
1,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],0Xp6SFQ4zVcn7HQpKIjMGm,Live in Dublin,2015-01-01
2,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],4sNiVIdcptOqaCK4OxuccU,Live at The Troubadour,2008-11-25
3,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],2xCZnfK3KsYxXpRag9EqmX,South Philly,2007
4,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],2zctWsSDRj6fZgQnxr9ktX,Home for Christmas,2006-10-03
5,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],56OahGzV2hug0iKeRsc82P,Our Kind of Soul,2004-10-26
6,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],7kU5qX1QR0wPiN0PgRcdi7,Do It for Love,2003-02-11
7,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],7Mf1HFFuopqNI9zTADiVHa,Hall & Oates,1999
8,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],56kwnAZ6ek4RthaBRC9T5i,Change Of Season,1990-03-09
9,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],4EEyCnj2fZu1eInXpLfZZW,Ooh Yeah!,1988-07-27
10,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],6e6XTbQ6rFQdyxQU1BUU4V,Live at the Apollo,1985-09-10
11,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],5HzH1Tj5Zg77b5proAft1c,Big Bam Boom (Expanded Edition),1984
12,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],7ygXmT175bKbOpiPjNwXOB,H2O,1982-10-04
13,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],7rfpaXxmQG7dnFycZjLae0,Private Eyes (Expanded Edition),1981
14,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],4LniALl9S6YedTFdiZWOMS,Voices,1980
15,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],624bn11sAySR7GN4SScDfs,X-Static (Expanded Edition),1979
16,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],27izXD9bHIPdv3eoNW1Hci,Along The Red Ledge,1978-08-21
17,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],5f90DSB1M0PZLQ2CSSlXBG,Livetime,1978
18,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],4rp3cVJ1U2QtNZW10Xgqxv,Beauty On a Back Street,1977-09-01
19,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],5TNzBp7QYsXIHrI5xxVuic,Bigger Than Both Of Us,1976-08-01
20,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],0QVsWpx62HGRHx1Big7BZA,Daryl Hall & John Oates (The Silver Album),1975
21,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],2PivwBASdE6sRnQX9hWNv5,War Babies,1974
22,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],47Dmo9RLpgHMusEiF8luvu,Abandoned Luncheonette,1973-01-01
23,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],0UtB8zWnd5qGNyuoJHflzq,Whole Oats,1972
24,77tT1kLj6mCWtFNqiOmP9H,['77tT1kLj6mCWtFNqiOmP9H'],['Daryl Hall & John Oates'],4JgcTrvUXhsoKQrVgNZtH8,Daryl Hall & John Oates Early Essentials,1970-01-08
