,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,1uCmGGKxwlZTixjCxQyges,0.666,4,-9.221,0,0.412,0.822,0.0,0.136,144.011
1,4HCXL25mUb9RISHL31WXRm,0.855,5,-5.774,0,0.0825,0.468,0.000167,0.0978,87.024
2,1W3PmIlBplo5X5T67yLmY5,0.76,11,-5.566,0,0.0834,0.264,2.71e-06,0.139,186.034
3,5zuE6KIynU31uACRF112R3,0.677,1,-4.928,1,0.163,0.439,3.22e-06,0.357,175.985
4,4z6wo6PJG4Fve45OXK6D9m,0.713,1,-3.147,1,0.219,0.366,4.3e-06,0.246,176.073
5,7wQQLVAxrmY4fox5GKasHX,0.903,5,-4.027,0,0.175,0.396,3.35e-06,0.0712,101.053
6,6F6BPkZYKQfgwZVBugMpty,0.88,8,-4.855,1,0.121,0.52,0.00334,0.108,96.004
7,2UeO0dSYG1t2BpESjdk24F,0.711,1,-4.585,0,0.266,0.11,0.0,0.513,174.03
8,19brIxDiUTCxusT2x8Wvxj,0.785,10,-6.303,1,0.134,0.365,0.0,0.0746,92.968
9,6TCKPohK9TN8aaCSinsjMg,0.824,3,-5.514,0,0.12,0.486,5.09e-06,0.132,81.976
10,1XxmTx7ZzI2xLvS8SqlXs9,0.883,9,-2.957,1,0.113,0.11,0.000529,0.0734,87.972
11,3dH31O0j1KWW5C2LNCVuuG,0.704,4,-7.084,1,0.0992,0.756,0.0,0.0952,159.998
12,2LSrYn6Ou5DYNa8Gh8TN5e,0.637,0,-6.301,1,0.0563,0.0604,0.0,0.469,139.964
13,7ms5LbfGl6lvaYqI34DZYo,0.619,2,-6.115,0,0.206,0.303,0.000434,0.12,167.999
14,7zooAwAq4UbQGXA82G2nVv,0.682,10,-3.796,0,0.281,0.227,0.0,0.079,86.357
