,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,5eYulSodhDhEdAOq4lh0zj,0.427,7,-8.603,0,0.0535,0.262,1.53e-05,0.271,138.515
1,11CuPgsnoErQX18rH4gXLM,0.629,1,-7.219,0,0.0855,0.124,0.0,0.159,80.968
2,1gHvJW02LvPeywVfS6Els8,0.685,6,-8.633,1,0.0783,0.0344,0.0,0.161,94.026
3,2iHxbUx2jHLWR0dDQe79Kh,0.536,5,-8.252,1,0.0287,0.0922,0.0,0.104,78.957
4,6elEkHLtv541ZTtZeR6y7L,0.536,0,-8.609,1,0.0933,0.264,0.0,0.113,153.62
5,2SUBNld3eqQ0lKjmyxisud,0.566,8,-8.833,1,0.055,0.0774,9.52e-06,0.156,161.872
6,4SQLQfcR0vhyIN4uPBlc0d,0.74,1,-6.233,0,0.0506,0.0183,0.0,0.0558,139.917
7,46GPNtgyVVUYv5FysNfff4,0.566,2,-8.49,1,0.0276,0.677,2.4e-06,0.117,90.109
8,2NhdaHdguorjUfDBV8INhX,0.627,8,-7.312,1,0.175,0.0604,5.52e-06,0.125,179.819
9,5bHr4aMEAWlzbFirRr2T7a,0.577,0,-7.868,1,0.0344,0.0102,0.0,0.0778,86.99
10,2GujK1FWxxOZ118PaWNgbZ,0.68,5,-6.977,1,0.051,0.116,0.0,0.607,115.962
11,1UDhFEt0NlOFKwWRQJTgHe,0.701,2,-8.238,1,0.0483,0.00843,0.0,0.0987,140.015
12,6WFWKEWYQ9XMgcrzFt74BQ,0.626,4,-8.464,1,0.0341,0.38,0.0,0.113,130.844
