,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,1c8gk2PeTE04A1pIDH9YMk,0.73,8,-5.114,1,0.0298,0.138,0.0,0.0473,104.948
1,2A73XBDBQgmdXO8VsXPWIs,0.612,0,-5.014,1,0.0446,0.615,0.0,0.167,120.052
2,4oy98QoABnGKpvapDkI525,0.353,0,-6.044,0,0.0285,0.95,1.35e-05,0.132,155.476
3,4RyjMERDcCJHTkFpXzgUw4,0.644,3,-5.713,1,0.0304,0.214,0.0,0.0866,115.025
4,73CMRj62VK8nUS4ezD2wvi,0.603,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,107.993
5,3uVsdnIglL7aTjm8X08J0M,0.706,0,-7.045,0,0.086,0.0225,0.0,0.0754,159.908
6,08YJEcxGtYXwCGqXMZDiyQ,0.415,0,-8.44,1,0.0308,0.957,1.18e-06,0.183,138.096
7,5AKAyMEL5LqCkafztPdBSI,0.547,2,-2.684,1,0.0367,0.049,0.0,0.114,160.063
8,43dcCpx19I0R4zLr4KH1UC,0.528,5,-5.306,1,0.0287,0.295,0.0,0.165,154.974
9,7nm6DlSzzJTH1rk2e6EgJz,0.689,0,-9.407,0,0.0278,0.693,0.00236,0.111,116.885
10,1zwMYTA5nlNjZxYrvBB2pV,0.556,9,-8.251,1,0.0281,0.893,0.0,0.0996,135.187
