,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,3C3NcdzgSR7d3T08nQArH8,0.421,0,-17.702,0,0.338,0.914,0.0,0.383,96.519
1,6efiFGQuwOcJcKBSzNwhtR,0.486,0,-10.765,1,0.31,0.796,0.0,0.146,93.96
2,0XjEpVmNN4yX2BSPVMV2GN,0.489,9,-9.334,0,0.186,0.86,0.0,0.109,83.384
3,1bohgydMhOtl6ctpwa5nDB,0.317,4,-9.648,1,0.0322,0.339,0.0,0.14,89.404
4,6t8o7ixMZP1JXa0YkXRuio,0.617,8,-10.426,0,0.121,0.556,1.2e-06,0.135,135.857
5,4NFbgFSI3FmS0zlbvtRdv6,0.51,7,-9.029,0,0.239,0.624,0.0,0.102,128.485
6,3WY0weDaG2IHLloobhLkiD,0.517,1,-8.134,0,0.22,0.131,0.0,0.203,134.923
7,73lVqmDBIUb5T1TswcmcKT,0.416,10,-8.216,0,0.18,0.168,0.0,0.61,123.823
8,1mi3F9Mc7U7aonWmsjNPog,0.574,3,-19.221,0,0.0516,0.947,8.49e-05,0.105,106.869
9,6eYliPeuqIy0kxc2OknV8K,0.402,11,-10.209,0,0.0463,0.621,0.000229,0.107,130.42
10,6Spapxd5fD5wbTKUfntivA,0.643,8,-11.078,1,0.155,0.392,4.63e-05,0.592,149.849
11,6Nizh978x4cQvEeK92gU5b,0.408,0,-10.424,1,0.046,0.572,0.0,0.0847,59.85
12,00Md5izO4UQme3QtSiiZ80,0.363,5,-8.161,1,0.0831,0.0677,1.11e-05,0.224,84.24
13,3ClMD6Ne7T6UMdfTeQjpnM,0.663,6,-9.591,0,0.362,0.884,0.000721,0.137,89.129
14,1wKwQdV3A1rllcQfWLzZdZ,0.425,9,-17.04,1,0.0398,0.963,0.00356,0.162,135.554
15,1F8VALoA8PxpDDZhHPORD2,0.297,11,-16.271,1,0.047,0.976,6.84e-06,0.0907,75.105
16,5BlzizWuEwIkNNMhhhiiOq,0.526,6,-11.203,0,0.442,0.787,5.99e-06,0.104,147.732
17,6ZUVJrF5hGfdFYNAvgRCwm,0.274,9,-11.231,1,0.043,0.501,1.06e-05,0.359,82.033
18,7xidVAKDiDTLtWI0fT3Xtu,0.444,9,-11.514,1,0.0368,0.797,0.0,0.139,112.325
19,2R04DTjM4B12c4pTsviEg9,0.486,1,-8.562,0,0.374,0.0309,1.2e-06,0.102,93.809
20,1gftJ3Unmbddv6w5tmdTge,0.617,1,-10.785,1,0.0395,0.885,1.77e-06,0.131,112.367
21,2p5QtNGyfnT5MhQex3WOte,0.555,10,-8.954,0,0.0919,0.532,0.0,0.123,112.972
22,5wsHLrhch5EIS6nsgld6y2,0.588,8,-10.462,0,0.207,0.642,2.09e-06,0.123,135.592
23,1hqjVx6sZfQSp7QcMjCuZR,0.763,6,-10.44,0,0.124,0.442,0.0,0.111,113.682
24,4o3BlVXqXEQaP5h1Ds0xfy,0.498,0,-14.216,0,0.0438,0.867,2.94e-05,0.109,113.214
25,423NhOTzoqgeaIJbrUzSoo,0.575,7,-11.626,0,0.28,0.756,0.0,0.109,113.862
26,20aFFCP7UcwViYhgkRTOg5,0.613,8,-10.669,1,0.252,0.437,0.0,0.182,149.788
27,4eYG3dbR174o9ZGgYTMdNY,0.623,0,-9.483,1,0.355,0.374,0.0,0.126,169.901
28,0t2q2c43AATY4z1GI883Be,0.401,6,-10.787,0,0.216,0.831,0.000292,0.0907,169.949
