,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,2TxCwUlqaOH3TIyJqGgR91,0.749,2,-7.011,1,0.0323,0.295,0.000443,0.469,137.547
1,4qQnJL18qFNX5HIko7Azhj,0.649,2,-6.647,1,0.0425,0.00226,0.0157,0.0594,117.867
2,4wmxuU2zml8evBPREe1cHU,0.664,10,-10.572,1,0.061,0.531,1.07e-05,0.0677,81.884
3,6yZv0Nl6BXABbXoPVpfF5y,0.415,5,-5.55,1,0.0278,0.251,0.00197,0.289,125.056
4,1tCRgQd7muhZCqAeMQziqa,0.654,0,-10.295,1,0.0633,0.144,2.79e-06,0.0535,166.299
5,5jfZEsdQMAaoeDLib5rLu4,0.499,5,-3.457,1,0.0301,0.034,0.000613,0.32,131.998
6,0x5BKBAcia1th7UzcoHnD1,0.461,0,-4.257,1,0.0355,0.677,0.0163,0.348,110.701
7,0Xb6Q1bGZnDnzRgicBHBRJ,0.691,11,-4.68,1,0.0872,0.537,0.0,0.502,132.753
8,2G5WyPGibVmXuI3dXuMpWw,0.398,4,-6.267,1,0.0283,0.0604,0.861,0.31,154.776
9,3F2sMDeuhueiBpDqEbRhCF,0.394,9,-5.859,1,0.028,0.651,0.000765,0.107,153.742
10,6GwEXzeLKORRKjmKDHfyUp,0.311,7,-4.727,1,0.0496,0.0305,0.846,0.343,159.134
11,58646Q0ETWu727dB0y85Pf,0.495,8,-9.067,1,0.0335,0.381,0.000103,0.291,135.402
12,3VmTQCzy8QWwKBxD9g0VSU,0.336,9,-4.402,1,0.241,0.0289,1.35e-05,0.0599,167.677
