,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,17aSKlxlKpG7SVwEPCHw7C,0.349,0,-4.266,1,0.0361,0.132,1.06e-06,0.0368,97.013
1,44B9xspO3RycWjEJ3D8cKl,0.491,2,-3.568,0,0.0287,0.0866,3.2e-05,0.382,92.919
2,2sVcBaVtBPM9vIFk1Jnbw8,0.67,5,-4.553,1,0.0466,0.118,0.0,0.192,123.977
3,5tf8NV1rHghYymjIqeKMus,0.648,5,-4.94,1,0.0274,0.279,0.0,0.0833,93.014
4,3lAYhjUPetRjYsuBACgxqy,0.557,2,-4.237,1,0.141,0.219,0.0,0.117,156.155
5,4Ng0ePWkPLOafIc4pvwpzs,0.604,3,-5.505,1,0.036,0.166,0.0,0.139,97.024
6,0AMyY6jSYyTAYBQjxfWdno,0.701,10,-4.823,1,0.0395,0.233,0.0,0.467,92.021
7,5pCRxfOCg0Wn0Vr6xlQ3Lp,0.672,6,-4.299,0,0.129,0.31,0.0,0.334,96.023
8,2KcbPVQSBp2J7tCqLH3gCJ,0.528,2,-10.736,1,0.242,0.742,0.0,0.0913,71.984
9,0OyCP3RIRZxPGflLv14InQ,0.635,5,-4.204,1,0.0613,0.00179,0.0,0.32,94.939
10,6fEUwVeEJlPR8MHzYZObH8,0.492,7,-3.511,1,0.0399,0.0427,0.0,0.162,95.049
11,52z728pusgJVHePqjVBjnR,0.637,2,-3.644,1,0.0405,0.0633,0.0,0.567,124.874
12,4FjSg4LerkHKTWoCtP90RJ,0.612,7,-4.668,0,0.0637,0.00379,0.0,0.0473,91.002
