,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,13CVSGLSFl4UxpDVR6u3dq,0.387,5,-8.901,1,0.0336,0.798,0.000159,0.0848,68.004
1,46IZ0fSY2mpAiktS3KOqds,0.604,5,-7.519,1,0.0282,0.578,0.0,0.133,141.981
2,2DuPBbS5mIldXnh7Wum8Cy,0.339,1,-10.661,1,0.0559,0.829,0.00377,0.147,151.865
3,09u787BYeYIGd2mFIJ505t,0.756,7,-6.917,1,0.102,0.523,3.35e-06,0.248,125.064
4,3Kkjo3cT83cw09VJyrLNwX,0.534,1,-3.906,1,0.046,0.091,0.0,0.0264,88.098
5,6w8ZPYdnGajyfPddTWdthN,0.703,9,-6.118,0,0.0431,0.0171,0.0,0.178,97.985
6,6v0UJD4a2FtleHeSYVX02A,0.437,10,-5.596,1,0.0466,0.697,0.0,0.119,115.389
7,496vIKS2INz840xZaKncvR,0.734,8,-9.666,1,0.166,0.67,2.35e-05,0.194,127.989
8,2c6xRsQBv7pynuhYhWoHxo,0.594,4,-10.561,0,0.173,0.749,3.2e-05,0.132,145.601
9,6bGMSP3H9YqkmaLnaJTIoF,0.366,0,-7.814,1,0.0433,0.858,1.15e-05,0.165,165.902
10,10ImcQk9tihY1EKMDIbvXJ,0.356,8,-8.291,1,0.0391,0.843,0.0,0.231,170.425
11,2j3GxEsbNYNeEzz86wDY4J,0.269,10,-5.79,0,0.0416,0.453,0.000695,0.0702,183.793
