,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,4VymMhILk4DSwghPkLUPVS,0.499,7,-4.679,1,0.11,0.000329,6.1e-05,0.151,138.042
1,0DkmhHO4yyqCJFjosmmWPU,0.378,6,-4.615,1,0.062,3.56e-05,0.000138,0.102,174.932
2,297d7PwfSFHQXCjqqDXQT2,0.549,6,-4.802,0,0.0521,3.74e-05,1.45e-06,0.214,130.009
3,7zAt4tdL44D3VuzsvM0N8n,0.487,2,-4.217,0,0.0798,0.000429,2.91e-05,0.231,110.02
4,7MOQrtXMNImAq5TrPZzC0w,0.316,2,-5.931,0,0.0356,0.0203,8.99e-06,0.207,163.127
5,63KJgtNcHRii4aHvUlmtSx,0.429,2,-5.447,0,0.0877,0.00209,1.68e-06,0.187,139.949
6,3H2VmsXSSxjIv1UUPEQ30d,0.504,7,-4.697,1,0.0799,0.00091,3.04e-05,0.417,150.01
7,0EtXiKDaHJcVFFvhWpSfiN,0.214,5,-3.576,1,0.0687,5.82e-05,0.00015,0.0973,179.997
8,1BLfQ6dPXmuDrFmbdfW7Jl,0.486,2,-5.623,0,0.0474,0.0244,0.0,0.429,144.997
9,2FML7gk7ac6quGFIjvkDb3,0.472,5,-5.928,1,0.0316,0.00658,5.65e-05,0.132,139.993
10,1Jw12tFlAf6iLFrSGBNAj4,0.405,6,-4.452,1,0.0559,3.85e-05,5.41e-05,0.114,174.958
11,5PkuqYwQIVhNJQTuudLISJ,0.406,0,-4.814,1,0.123,0.00083,0.0265,0.671,125.032
