,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,5YvSToCqZvUbmSmySsYoID,0.391,6,-8.625,1,0.0403,0.000425,0.179,0.663,94.999
1,78XFPcFYN8YFOHjtVwnPsl,0.447,2,-5.446,0,0.066,0.000359,0.00103,0.255,92.535
2,4ORgqa0GOafXbApy6S8FpJ,0.479,5,-5.012,1,0.0477,4.79e-05,0.111,0.176,95.999
3,0foUqfFNnzCnlSroyvsONr,0.342,7,-5.618,1,0.0812,0.000108,0.00975,0.23,179.046
4,2CtlenYH17sZ8Mzg9tgT1K,0.457,9,-4.155,1,0.0689,0.000114,0.0188,0.618,94.993
5,1Jcg3rS8cFHFsZkgLBCTxP,0.269,2,-4.459,1,0.107,3.87e-05,0.0303,0.3,116.956
6,3hmX5dfwY9oRIpJKvt755u,0.294,0,-4.947,0,0.096,1.21e-05,0.543,0.118,184.987
7,6emkKEVCaDzDqUyaKxhCEG,0.548,5,-6.042,1,0.052,5.99e-05,0.0862,0.2,125.031
8,67w1cb9ESAnCGJkC9hW2nO,0.4,7,-5.109,0,0.0492,0.000451,0.00581,0.218,129.505
9,2Doa43IoYTlDho7OKi4aZ8,0.332,3,-5.394,1,0.0529,6.14e-05,0.0872,0.39,135.019
10,7zKpO6ElcIh9uFwxjGn8r7,0.465,2,-4.406,0,0.0519,0.000511,0.00376,0.0951,140.023
11,3z5GVpU8JtKsVG5hsZjign,0.348,10,-5.873,1,0.046,6.41e-05,0.177,0.11,164.937
