,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,5dSidrJ5XHdP1xb11xpV2z,0.357,9,-9.217,1,0.063,0.0034,0.0507,0.151,87.01
1,4KyghCEewQOSZ4OdvQwFN3,0.291,2,-7.089,0,0.0459,9.8e-05,0.0275,0.113,127.1
2,4Rs2N7ewIjanXUNYtMKK3j,0.353,7,-8.159,1,0.041,0.000908,2.91e-06,0.276,73.762
3,0JUZetZb7lxLsmT7HwNCQv,0.309,9,-9.647,0,0.0471,0.000441,0.187,0.0625,140.034
4,1xA87lWGnZlIjG8tw4327F,0.271,9,-8.025,1,0.0509,0.00168,0.0111,0.166,127.02
5,0hTO34HlurDf9J8LSZm7Nl,0.483,4,-8.27,0,0.0332,0.000485,0.473,0.144,132.052
6,6qXVuEYcL6M4Yc1zyY5F8D,0.435,9,-8.189,1,0.0455,0.0135,0.324,0.208,149.762
7,3hpB5SlyESKXrmc6NUNQhd,0.396,2,-7.891,1,0.0419,0.000459,0.00214,0.181,89.732
8,5Jfa1TJRwDnofxUlDg1yQy,0.618,0,-7.778,0,0.0305,0.00242,0.0524,0.195,115.039
9,1CuHu4a51IOR4LXjB5jObB,0.172,6,-10.295,0,0.0324,0.381,0.00277,0.2,129.514
10,3mkLW2ip0xiBHGUzhcxgHx,0.427,10,-20.378,1,0.0387,0.707,0.879,0.106,123.726
