,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,6FVYwnVrnAEIRnY3bHJb46,0.37,5,-3.296,1,0.0633,6.28e-05,0.00225,0.331,155.177
1,4bcN9riyILh4IXEdmLGa8m,0.345,2,-3.221,0,0.0607,0.0012,3.03e-05,0.362,175.027
2,39ZiU2QVBvDQzeepJjg8tp,0.245,2,-4.223,0,0.0852,9.79e-05,0.00433,0.164,96.0
3,3sHH7lklbfpcraDDvYnjo7,0.541,0,-4.129,1,0.0396,0.000248,8.28e-06,0.423,125.04
4,01CYr3t0hedD915PmI5l4D,0.327,5,-3.125,1,0.108,0.00218,0.00013,0.246,175.241
5,7HKRWMTErKh56EIBeFcmdf,0.393,5,-4.499,1,0.0367,0.0168,0.0,0.193,140.101
6,6rujTb9hJa0XdUNtPftz4M,0.537,2,-4.335,0,0.0654,0.00184,3.53e-05,0.334,123.163
7,18dQgDh5WDUH99YIkRf0dA,0.455,2,-3.928,0,0.0506,0.000438,1.91e-05,0.0379,119.967
8,3muNQv1Ctk9NwzksJA1z5c,0.338,0,-4.816,1,0.0346,0.000999,0.000139,0.11,160.03
9,5fArVBrjtT7UPIQ8j2yQnJ,0.468,5,-3.787,1,0.0556,0.00133,1.54e-06,0.296,130.009
10,3PrvYgv97s5U752pIpDMNf,0.213,2,-5.211,0,0.0613,0.00702,0.000561,0.118,164.952
