,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,4frN6CneOJqtExR9LCf5oA,0.605,6,-5.902,0,0.05,0.0297,0.418,0.189,103.002
1,3i78lP1Y35m6Idgnbw9Fow,0.521,0,-4.838,1,0.0373,0.00543,0.0,0.0895,105.034
2,2dgFqylK6gyILa4HY65u0y,0.628,9,-3.555,1,0.0913,0.0108,0.0,0.308,78.043
3,2z00vFwIe6zaCoA0LWmiTX,0.697,7,-5.123,1,0.0538,0.188,1.73e-06,0.126,98.013
4,0iQJLCJyv6TTPUP4u4y8DJ,0.617,2,-4.54,1,0.0284,0.0681,0.0,0.123,96.996
5,1ZzehTXQaSjL0okOGJBVPB,0.424,11,-4.041,0,0.0433,0.0111,1.92e-06,0.281,82.072
6,1ItUZ6gWLOHCpVrpLZRZ52,0.536,8,-4.274,1,0.0298,0.000676,3.39e-06,0.331,148.113
7,3hbZLbum75zWMZyR8K8tDd,0.477,10,-3.486,1,0.121,0.0609,0.0,0.086,196.068
8,7fXQjSxPkC61wiJkO70gyD,0.596,7,-7.205,1,0.0321,0.461,0.000111,0.263,123.981
9,7dsa0xV5EcHDtcultAsGdb,0.472,5,-3.455,0,0.377,0.00636,0.0,0.0743,169.893
10,2oSCXi24mnHAegVedDkTW6,0.253,6,-5.47,1,0.127,0.0456,0.0,0.175,75.993
11,3QM2hhOJCvw7BquWa0n14Q,0.598,0,-3.953,0,0.113,0.0129,5.16e-06,0.0915,117.913
12,3n622hniaMFIJ6Dbf6B1WS,0.714,8,-10.816,1,0.0374,0.828,6.13e-05,0.096,96.041
