,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,6OJ2Q3WF6fWsSDXJ7x21ja,0.197,8,-14.023,1,0.178,0.13,0.82,0.414,235.998
1,1YQwSXwOyiHsDhuHK4qwef,0.422,2,-7.368,0,0.133,6.86e-05,6.87e-05,0.51,137.998
2,1OCJTJmvLswgUFmWGyAfMB,0.338,0,-7.411,0,0.0946,1.5e-05,0.0103,0.869,96.838
3,4A8maWsDAZ51QngVy9tU4S,0.469,2,-8.278,0,0.119,6.14e-05,4.66e-05,0.812,110.03
4,6VOJIfQBE4P21mnBA82nIK,0.378,0,-7.47,0,0.195,5.47e-06,0.000111,0.815,155.004
5,4FoNCaMnijfUxdIgTAzUEN,0.468,1,-8.551,1,0.317,0.000168,1.76e-05,0.968,129.886
6,6HJKu9uSy79XQ4Z5gDa0xY,0.34,5,-8.613,1,0.0953,0.00197,1.3e-05,0.709,139.777
7,2P0GYyChWTWwdvkaBW1zhg,0.374,3,-8.211,1,0.0951,9.06e-05,7.45e-05,0.917,113.125
8,780voClLvwbE1eSatqXaep,0.393,0,-7.201,1,0.125,9.17e-06,0.00154,0.954,124.974
9,4hZcXYIOBkmWQ2zCNHa0wx,0.437,6,-8.136,0,0.0924,0.000154,0.000406,0.584,87.485
10,0z0rIGAYZlhZpzsPc1evmY,0.169,2,-7.896,0,0.0475,0.00345,2.63e-06,0.542,79.419
11,7lBKzxqVnqxuNbDiHNtHWC,0.179,5,-7.919,1,0.422,0.000281,0.00238,0.977,73.612
12,6sQLtybPi4T8Pllk4Grxf9,0.264,2,-7.454,0,0.0829,0.000716,0.0,0.454,145.021
