,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,4UEo1b0wWrtHMC8bVqPiH8,0.554,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,129.984
1,0jqblvsI9LBY4irmLVqqEO,0.567,2,-3.973,0,0.0935,0.00267,0.0,0.0567,94.985
2,7pS3O75hJnthHr64tlpqPn,0.473,5,-6.383,1,0.0548,0.00116,0.000798,0.109,180.024
3,4veeNpXDK1YRHMTJ1Cppsg,0.607,9,-5.209,0,0.0296,0.00116,0.0,0.159,139.983
4,5o8OdhjVZSF2wCj7M8UpMN,0.394,7,-4.51,0,0.0677,0.000159,3.72e-05,0.316,184.916
5,7Hr1Ignop7cymbE3FbOtXa,0.286,4,-4.491,0,0.0348,0.00847,7.39e-05,0.142,151.297
6,031uTUhyy6xmDJqmeWJBi9,0.453,0,-6.121,0,0.119,0.000321,0.14,0.132,139.997
7,4H2x38N2IZAkZZM69WD1SH,0.547,0,-5.06,0,0.0324,0.00395,8.08e-06,0.12,130.0
8,1I5RmSqq96UQnjT9EKGMso,0.552,4,-4.805,0,0.0264,0.0886,0.0,0.0765,135.022
9,3b3eu3uMp1b9xPOHbfSwBi,0.605,0,-7.454,1,0.0265,0.0612,3.6e-05,0.106,120.0
10,53jogSv23P6DFcOHcZrDs9,0.499,9,-4.785,0,0.0501,0.000391,0.00117,0.154,94.963
