,id,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,63vWIbGDWfq8KQI5elbvEs,0.701,9,-17.491,0,0.821,0.646,0,0.739,106.116
1,6cIR4gFue0aC2CjieIVWOa,0.711,7,-17.123,1,0.715,0.636,0,0.542,139.973
2,5gbU0MnOepsKOsjARW86zu,0.711,11,-16.084,0,0.911,0.586,0,0.687,128.89
3,7mqyVhUSyTBiUoJz3WkU5F,0.691,0,-17.358,1,0.922,0.713,0,0.387,94.258
4,7ckIn2nKZL8tj8txAKvz6w,0.71,7,-19.545,0,0.852,0.617,0,0.789,122.915
5,6JagPsHVPKE3DsT1N41CFE,0.672,7,-17.144,1,0.916,0.704,0,0.376,82.777
6,2ym9SkJYJRjly62KlqWRtw,0.718,1,-17.8,1,0.876,0.618,0,0.658,100.555
7,47xIB4SfWpj5OdjTGBpg88,0.634,6,-12.558,1,0.53,0.798,0,0.422,125.39
8,5oaCq7Ajox6FNlxBYlmttI,0.699,0,-18.556,1,0.899,0.786,0,0.143,105.887
9,4iMJB9jHIqGxfbG8MlJKmA,0.605,5,-15.296,1,0.637,0.492,0,0.462,85.117
10,7suywf58Vp8OOFwJ3TkoTi,0.625,7,-19.923,1,0.907,0.743,0,0.504,79.386
11,7DGzmoZowfE6FbgHmPp0Op,0.707,1,-16.537,1,0.697,0.733,0,0.155,108.686
12,4fe6cf6zFIHOHXacpyzdC8,0.673,10,-18.301,1,0.845,0.758,0,0.206,84.802
